,Rank,Points,Player_1_Name,Player_2_Name,Player_3_Name,Player_4_Name,Player_5_Name,Player_6_Name,Player_7_Name,Player_8_Name,Player_9_Name,Player_10_Name,Player_1_Position_Rostered,Player_2_Position_Rostered,Player_3_Position_Rostered,Player_4_Position_Rostered,Player_5_Position_Rostered,Player_6_Position_Rostered,Player_7_Position_Rostered,Player_8_Position_Rostered,Player_9_Position_Rostered,Player_10_Position_Rostered,Player_1_Salary,Player_2_Salary,Player_3_Salary,Player_4_Salary,Player_5_Salary,Player_6_Salary,Player_7_Salary,Player_8_Salary,Player_9_Salary,Player_10_Salary,Player_1_Team,Player_2_Team,Player_3_Team,Player_4_Team,Player_5_Team,Player_6_Team,Player_7_Team,Player_8_Team,Player_9_Team,Player_10_Team,Main_Stack,Secondary_Stack,Tertiary_Stack,Main_Stack_Length,Secondary_Stack_Length,Tertiary_Stack_Length
MacPock,129,87.05,Alek Manoah,Alex Wood,Brandon Belt,Ozzie Albies,Austin Riley,Mike Yastrzemski,Marcell Ozuna,Darin Ruf,Joey Bart,Mauricio Dubon,P,P,1B,2B,3B,OF,OF,OF,C,SS,10200,9200,5500,4800,4800,3800,3800,2900,2500,2200,TOR,SF,SF,ATL,ATL,SF,ATL,SF,SF,SF,SF,ATL,,5,3,
tjnookie85,130,86.75,Elieser Hernandez,Dylan Bundy,Bryce Harper,Nick Castellanos,Brandon Lowe,Kyle Schwarber,J.T. Realmuto,Didi Gregorius,Luis Arraez,Billy McKinney,P,P,OF,OF,2B,OF,C,SS,3B,1B,7500,5600,6200,5600,5400,5300,4600,3700,3600,2400,MIA,MIN,PHI,PHI,TB,PHI,PHI,PHI,MIN,OAK,PHI,,,5,,
Deathflower74,131,86.55,Alek Manoah,Nick Martinez,Shohei Ohtani,Brandon Lowe,Wander Franco,Anthony Rendon,Ji-Man Choi,Francisco Mejia,Josh Lowe,Jose Rojas,P,P,OF,2B,SS,3B,1B,C,OF,OF,10200,5900,6000,5400,5300,4300,4000,3200,2800,2600,TOR,SD,LAA,TB,TB,LAA,TB,TB,TB,LAA,TB,LAA,,5,3,
morganb4,131,86.55,Alek Manoah,Nick Martinez,Shohei Ohtani,Juan Soto,Ozzie Albies,Austin Riley,Dansby Swanson,Marcell Ozuna,Manny Pina,Julio Rodriguez,P,P,1B,OF,2B,3B,SS,OF,C,OF,10200,5900,6000,5700,4800,4800,4200,3800,2600,2000,TOR,SD,LAA,WAS,ATL,ATL,ATL,ATL,ATL,SEA,ATL,,,5,,
tmac515,133,86.35,Michael Lorenzen,Nick Martinez,Vladimir Guerrero Jr.,Wander Franco,Kyle Schwarber,Giancarlo Stanton,Jean Segura,Mark Canha,Alec Bohm,Francisco Mejia,P,P,1B,SS,OF,OF,2B,OF,3B,C,6700,5900,6100,5300,5300,5200,4400,4200,3700,3200,LAA,SD,TOR,TB,PHI,NYY,PHI,NYM,PHI,TB,PHI,TB,,3,2,
cheeseisgood,134,86.2,Alek Manoah,Elieser Hernandez,Brandon Belt,Brandon Crawford,Teoscar Hernandez,Matt Chapman,Mike Yastrzemski,Joc Pederson,Gary Sanchez,Thairo Estrada,P,P,1B,SS,OF,3B,OF,OF,C,2B,10200,7500,5500,5200,4700,4000,3800,3200,2800,2600,TOR,MIA,SF,SF,TOR,TOR,SF,SF,MIN,SF,SF,TOR,,5,2,
EnricoPalatzo,135,86.05,Alek Manoah,Alex Wood,Bo Bichette,Jazz Chisholm Jr.,Starling Marte,J.T. Realmuto,Luke Voit,J.D. Davis,Billy McKinney,Julio Rodriguez,P,P,SS,2B,OF,C,1B,3B,OF,OF,10200,9200,5400,5000,4900,4600,3300,3000,2400,2000,TOR,SF,TOR,MIA,NYM,PHI,SD,NYM,OAK,SEA,NYM,,,2,,
Rushia,136,85.85,Alex Wood,Michael Lorenzen,Brandon Lowe,Wander Franco,Austin Riley,Adam Duvall,Ji-Man Choi,Marcell Ozuna,Francisco Mejia,Josh Lowe,P,P,2B,SS,3B,OF,1B,OF,C,OF,9200,6700,5400,5300,4800,4100,4000,3800,3200,2800,SF,LAA,TB,TB,ATL,ATL,TB,ATL,TB,TB,TB,ATL,,5,3,
dean78904,137,85.6,Alex Wood,Dylan Bundy,Shohei Ohtani,Wander Franco,Kyle Schwarber,Ozzie Albies,Austin Riley,Marcell Ozuna,Gary Sanchez,Julio Rodriguez,P,P,1B,SS,OF,2B,3B,OF,C,OF,9200,5600,6000,5300,5300,4800,4800,3800,2800,2000,SF,MIN,LAA,TB,PHI,ATL,ATL,ATL,MIN,SEA,ATL,,,3,,
shook1992,137,85.6,Alex Wood,Dylan Bundy,Shohei Ohtani,Byron Buxton,Ozzie Albies,Austin Riley,Jared Walsh,Marcell Ozuna,Gary Sanchez,Tyler Wade,P,P,OF,OF,2B,3B,1B,OF,C,SS,9200,5600,6000,5900,4800,4800,4700,3800,2800,2300,SF,MIN,LAA,MIN,ATL,ATL,LAA,ATL,MIN,LAA,LAA,ATL,MIN,3,3,2
erog30,137,85.6,Alex Wood,Dylan Bundy,Shohei Ohtani,Byron Buxton,Brandon Lowe,Carlos Correa,Luis Arraez,Francisco Mejia,Kevin Kiermaier,Josh Lowe,P,P,1B,OF,2B,SS,3B,C,OF,OF,9200,5600,6000,5900,5400,5100,3600,3200,3000,2800,SF,MIN,LAA,MIN,TB,MIN,MIN,TB,TB,TB,TB,MIN,,4,3,
Drose0127,137,85.6,Alex Wood,Dylan Bundy,Shohei Ohtani,Wander Franco,Kyle Schwarber,Ozzie Albies,Austin Riley,Marcell Ozuna,Gary Sanchez,Julio Rodriguez,P,P,1B,SS,OF,2B,3B,OF,C,OF,9200,5600,6000,5300,5300,4800,4800,3800,2800,2000,SF,MIN,LAA,TB,PHI,ATL,ATL,ATL,MIN,SEA,ATL,,,3,,
MSmith0818,137,85.6,Alex Wood,Dylan Bundy,Shohei Ohtani,Byron Buxton,Ozzie Albies,Austin Riley,Adam Duvall,Marcell Ozuna,Gary Sanchez,Orlando Arcia,P,P,1B,OF,2B,3B,OF,OF,C,SS,9200,5600,6000,5900,4800,4800,4100,3800,2800,2500,SF,MIN,LAA,MIN,ATL,ATL,ATL,ATL,MIN,ATL,ATL,MIN,,5,2,
DClive8380,137,85.6,Alex Wood,Dylan Bundy,Shohei Ohtani,Byron Buxton,Ozzie Albies,Austin Riley,Adam Duvall,Marcell Ozuna,Gary Sanchez,Orlando Arcia,P,P,1B,OF,2B,3B,OF,OF,C,SS,9200,5600,6000,5900,4800,4800,4100,3800,2800,2500,SF,MIN,LAA,MIN,ATL,ATL,ATL,ATL,MIN,ATL,ATL,MIN,,5,2,
clink221,143,85.55,Alek Manoah,Nick Martinez,Juan Soto,Starling Marte,Pete Alonso,Francisco Lindor,Nelson Cruz,Keibert Ruiz,Jeff McNeil,J.D. Davis,P,P,OF,OF,1B,SS,OF,C,2B,3B,10200,5900,5700,4900,4800,4600,4000,3200,3200,3000,TOR,SD,WAS,NYM,NYM,NYM,WAS,WAS,NYM,NYM,NYM,WAS,,5,3,
bjjball44,144,85.1,Nick Martinez,Dylan Bundy,Shohei Ohtani,Byron Buxton,Carlos Correa,Ozzie Albies,Austin Riley,Jared Walsh,Adam Duvall,Gary Sanchez,P,P,OF,OF,SS,2B,3B,1B,OF,C,5900,5600,6000,5900,5100,4800,4800,4700,4100,2800,SD,MIN,LAA,MIN,MIN,ATL,ATL,LAA,ATL,MIN,ATL,MIN,LAA,3,3,2
giantsquid,145,84.95,Jameson Taillon,Elieser Hernandez,Byron Buxton,Jazz Chisholm Jr.,Ozzie Albies,Jesus Aguilar,Jesus Sanchez,Jorge Soler,Brian Anderson,Gary Sanchez,P,P,OF,SS,2B,1B,OF,OF,3B,C,8000,7500,5900,5000,4800,4200,4200,4100,3300,2800,NYY,MIA,MIN,MIA,ATL,MIA,MIA,MIA,MIA,MIN,MIA,MIN,,5,2,
wicked_mumbles,146,84.9,Nick Martinez,Paul Blackburn,Shohei Ohtani,Kyle Schwarber,Jesse Winker,Ozzie Albies,Jared Walsh,J.T. Realmuto,Anthony Rendon,David Fletcher,P,P,OF,OF,OF,2B,1B,C,3B,SS,5900,5200,6000,5300,5000,4800,4700,4600,4300,3100,SD,OAK,LAA,PHI,SEA,ATL,LAA,PHI,LAA,LAA,LAA,PHI,,4,2,
REDLEGGS,147,84.85,Alex Wood,Michael Lorenzen,Matt Olson,Wander Franco,Ozzie Albies,Austin Riley,Adam Duvall,Marcell Ozuna,Alejandro Kirk,Josh Lowe,P,P,1B,SS,2B,3B,OF,OF,C,OF,9200,6700,5400,5300,4800,4800,4100,3800,3100,2800,SF,LAA,ATL,TB,ATL,ATL,ATL,ATL,TOR,TB,ATL,TB,,5,2,
felder15,147,84.85,Alex Wood,Michael Lorenzen,Matt Olson,Kyle Schwarber,Ozzie Albies,Austin Riley,J.T. Realmuto,Marcell Ozuna,Josh Lowe,Orlando Arcia,P,P,1B,OF,2B,3B,C,OF,OF,SS,9200,6700,5400,5300,4800,4800,4600,3800,2800,2500,SF,LAA,ATL,PHI,ATL,ATL,PHI,ATL,TB,ATL,ATL,PHI,,5,2,
chaze881,147,84.85,Alek Manoah,Huascar Ynoa,Brandon Lowe,Wander Franco,Adam Duvall,Ji-Man Choi,Mike Yastrzemski,Gio Urshela,Austin Nola,Billy McKinney,P,P,2B,SS,OF,1B,OF,3B,C,OF,10200,8600,5400,5300,4100,4000,3800,3200,2900,2400,TOR,ATL,TB,TB,ATL,TB,SF,MIN,SD,OAK,TB,,,3,,
jukes22,150,84.55,Alek Manoah,Dylan Bundy,Shohei Ohtani,Jazz Chisholm Jr.,Austin Riley,Jared Walsh,Marcell Ozuna,Joey Wendle,James McCann,Billy McKinney,P,P,OF,SS,3B,1B,OF,2B,C,OF,10200,5600,6000,5000,4800,4700,3800,3800,3000,2400,TOR,MIN,LAA,MIA,ATL,LAA,ATL,MIA,NYM,OAK,LAA,MIA,ATL,2,2,2
natelub79,151,84.4,Huascar Ynoa,Nick Martinez,Byron Buxton,Kyle Schwarber,Carlos Correa,Austin Riley,J.T. Realmuto,Marcell Ozuna,Luis Arraez,Billy McKinney,P,P,OF,OF,SS,3B,C,OF,2B,1B,8600,5900,5900,5300,5100,4800,4600,3800,3600,2400,ATL,SD,MIN,PHI,MIN,ATL,PHI,ATL,MIN,OAK,MIN,ATL,PHI,3,2,2
Nikhil1989,152,84.0,Elieser Hernandez,Michael Lorenzen,Byron Buxton,Brandon Lowe,Kyle Schwarber,Carlos Correa,Ji-Man Choi,Max Kepler,Gio Urshela,Gary Sanchez,P,P,OF,2B,OF,SS,1B,OF,3B,C,7500,6700,5900,5400,5300,5100,4000,3700,3200,2800,MIA,LAA,MIN,TB,PHI,MIN,TB,MIN,MIN,MIN,MIN,TB,,5,2,
3rd_and_schlong,153,83.95,Luis Patino,Dylan Bundy,Shohei Ohtani,Brandon Lowe,Wander Franco,George Springer,Austin Riley,Ji-Man Choi,Francisco Mejia,Josh Lowe,P,P,OF,2B,SS,OF,3B,1B,C,OF,7800,5600,6000,5400,5300,5100,4800,4000,3200,2800,TB,MIN,LAA,TB,TB,TOR,ATL,TB,TB,TB,TB,,,5,,
michacarr11,154,83.9,Alex Wood,Huascar Ynoa,Byron Buxton,Carlos Correa,Pete Alonso,Eduardo Escobar,Marcell Ozuna,Luis Arraez,Joey Bart,Julio Rodriguez,P,P,OF,SS,1B,3B,OF,2B,C,OF,9200,8600,5900,5100,4800,4100,3800,3600,2500,2000,SF,ATL,MIN,MIN,NYM,NYM,ATL,MIN,SF,SEA,MIN,NYM,,3,2,
jmrutkowski,154,83.9,Dylan Bundy,Paul Blackburn,Vladimir Guerrero Jr.,Aaron Judge,Bo Bichette,George Springer,DJ LeMahieu,Teoscar Hernandez,Matt Chapman,Kyle Higashioka,P,P,1B,OF,SS,OF,2B,OF,3B,C,5600,5200,6100,5800,5400,5100,4700,4700,4000,3300,MIN,OAK,TOR,NYY,TOR,TOR,NYY,TOR,TOR,NYY,TOR,NYY,,5,3,
jbfones,156,83.85,Alex Wood,Michael Lorenzen,Shohei Ohtani,Brandon Lowe,Jared Walsh,Anthony Rendon,Jo Adell,Francisco Mejia,Brett Phillips,Tyler Wade,P,P,OF,2B,1B,3B,OF,C,OF,SS,9200,6700,6000,5400,4700,4300,3800,3200,2600,2300,SF,LAA,LAA,TB,LAA,LAA,LAA,TB,TB,LAA,LAA,TB,,5,3,
lalonskyy,156,83.85,Alek Manoah,Huascar Ynoa,Brandon Belt,Brandon Crawford,Mike Yastrzemski,Luis Arraez,Tony Kemp,Joc Pederson,Darin Ruf,Gary Sanchez,P,P,1B,SS,OF,3B,2B,OF,OF,C,10200,8600,5500,5200,3800,3600,3300,3200,2900,2800,TOR,ATL,SF,SF,SF,MIN,OAK,SF,SF,MIN,SF,MIN,,5,2,
jburner17,158,83.65,Huascar Ynoa,Michael Lorenzen,Byron Buxton,Carlos Correa,Ozzie Albies,Jared Walsh,Marcell Ozuna,Max Kepler,Luis Arraez,Gary Sanchez,P,P,OF,SS,2B,1B,OF,OF,3B,C,8600,6700,5900,5100,4800,4700,3800,3700,3600,2800,ATL,LAA,MIN,MIN,ATL,LAA,ATL,MIN,MIN,MIN,MIN,ATL,,5,2,
JakeN07,158,83.65,Josh Rogers,Dylan Bundy,Bryce Harper,Vladimir Guerrero Jr.,Nick Castellanos,Bo Bichette,J.T. Realmuto,Matt Chapman,Lourdes Gurriel Jr.,Santiago Espinal,P,P,OF,1B,OF,SS,C,3B,OF,2B,6300,5600,6200,6100,5600,5400,4600,4000,3600,2400,WAS,MIN,PHI,TOR,PHI,TOR,PHI,TOR,TOR,TOR,TOR,PHI,,5,3,
Ponta01,160,83.6,Alex Wood,Dylan Bundy,Vladimir Guerrero Jr.,George Springer,Teoscar Hernandez,Francisco Lindor,Jean Segura,Matt Chapman,Joc Pederson,Alejandro Kirk,P,P,1B,OF,OF,SS,2B,3B,OF,C,9200,5600,6100,5100,4700,4600,4400,4000,3200,3100,SF,MIN,TOR,TOR,TOR,NYM,PHI,TOR,SF,TOR,TOR,,,5,,
s5clarey,160,83.6,Huascar Ynoa,Jameson Taillon,Jesse Winker,Manny Machado,Mitch Haniger,Ty France,Jake Cronenworth,Trent Grisham,Elvis Andrus,Austin Nola,P,P,OF,3B,OF,1B,2B,OF,SS,C,8600,8000,5000,4900,4600,4500,4200,3800,3300,2900,ATL,NYY,SEA,SD,SEA,SEA,SD,SD,OAK,SD,SD,SEA,,4,3,
petelin,162,83.45,Ranger Suarez,Dylan Bundy,Shohei Ohtani,Juan Soto,Mike Trout,Jared Walsh,Alcides Escobar,Cesar Hernandez,Gary Sanchez,Maikel Franco,P,P,OF,OF,OF,1B,SS,2B,C,3B,8900,5600,6000,5700,5600,4700,4300,3500,2800,2800,PHI,MIN,LAA,WAS,LAA,LAA,WAS,WAS,MIN,WAS,WAS,LAA,,4,3,
Randyw07,163,83.4,Huascar Ynoa,Nick Martinez,Byron Buxton,Wander Franco,Anthony Rizzo,Teoscar Hernandez,Jean Segura,Mark Canha,Gio Urshela,Gary Sanchez,P,P,OF,SS,1B,OF,2B,OF,3B,C,8600,5900,5900,5300,5000,4700,4400,4200,3200,2800,ATL,SD,MIN,TB,NYY,TOR,PHI,NYM,MIN,MIN,MIN,,,3,,
jjames1989,163,83.4,Huascar Ynoa,Dylan Bundy,Byron Buxton,Carlos Correa,Jorge Polanco,Jared Walsh,Teoscar Hernandez,Jorge Soler,Luis Arraez,Gary Sanchez,P,P,OF,SS,2B,1B,OF,OF,3B,C,8600,5600,5900,5100,4900,4700,4700,4100,3600,2800,ATL,MIN,MIN,MIN,MIN,LAA,TOR,MIA,MIN,MIN,MIN,,,5,,
needlunchmoney,165,83.35,Michael Lorenzen,Dylan Bundy,Bryce Harper,Kyle Schwarber,Pete Alonso,Francisco Lindor,J.T. Realmuto,Jean Segura,J.D. Davis,Matt Vierling,P,P,OF,OF,1B,SS,C,2B,3B,OF,6700,5600,6200,5300,4800,4600,4600,4400,3000,2300,LAA,MIN,PHI,PHI,NYM,NYM,PHI,PHI,NYM,PHI,PHI,NYM,,5,3,
Jdietz15,165,83.35,Michael Lorenzen,Nick Martinez,Aaron Judge,Juan Soto,Giancarlo Stanton,Carlos Correa,Jorge Polanco,Ji-Man Choi,Brian Anderson,Francisco Mejia,P,P,OF,OF,OF,SS,2B,1B,3B,C,6700,5900,5800,5700,5200,5100,4900,4000,3300,3200,LAA,SD,NYY,WAS,NYY,MIN,MIN,TB,MIA,TB,NYY,MIN,TB,2,2,2
rbell112490,167,83.1,Nick Martinez,Dylan Bundy,Bryce Harper,Shohei Ohtani,Ozzie Albies,Austin Riley,J.T. Realmuto,Dansby Swanson,Adam Duvall,Marcell Ozuna,P,P,OF,1B,2B,3B,C,SS,OF,OF,5900,5600,6200,6000,4800,4800,4600,4200,4100,3800,SD,MIN,PHI,LAA,ATL,ATL,PHI,ATL,ATL,ATL,ATL,PHI,,5,2,
slushfundx,167,83.1,Nick Martinez,Dylan Bundy,Bryce Harper,Shohei Ohtani,Ozzie Albies,Austin Riley,J.T. Realmuto,Dansby Swanson,Adam Duvall,Marcell Ozuna,P,P,OF,1B,2B,3B,C,SS,OF,OF,5900,5600,6200,6000,4800,4800,4600,4200,4100,3800,SD,MIN,PHI,LAA,ATL,ATL,PHI,ATL,ATL,ATL,ATL,PHI,,5,2,
tweyerich,169,82.85,Alex Wood,Michael Lorenzen,Byron Buxton,Ozzie Albies,Austin Riley,Dansby Swanson,Miguel Sano,Marcell Ozuna,Max Kepler,Gary Sanchez,P,P,OF,2B,3B,SS,1B,OF,OF,C,9200,6700,5900,4800,4800,4200,3900,3800,3700,2800,SF,LAA,MIN,ATL,ATL,ATL,MIN,ATL,MIN,MIN,MIN,ATL,,4,4,
Cocstrong,170,82.6,Alex Wood,Dylan Bundy,Juan Soto,Matt Olson,Ozzie Albies,Austin Riley,Dansby Swanson,Marcell Ozuna,Lane Thomas,Keibert Ruiz,P,P,OF,1B,2B,3B,SS,OF,OF,C,9200,5600,5700,5400,4800,4800,4200,3800,3300,3200,SF,MIN,WAS,ATL,ATL,ATL,ATL,ATL,WAS,WAS,ATL,WAS,,5,3,
cheeseheads1340,171,82.45,Ranger Suarez,Dylan Bundy,Vladimir Guerrero Jr.,Bo Bichette,George Springer,Teoscar Hernandez,Anthony Rendon,Alejandro Kirk,Brandon Marsh,David Fletcher,P,P,1B,SS,OF,OF,3B,C,OF,2B,8900,5600,6100,5400,5100,4700,4300,3100,3100,3100,PHI,MIN,TOR,TOR,TOR,TOR,LAA,TOR,LAA,LAA,TOR,LAA,,5,3,
prescio0912,172,82.4,Huascar Ynoa,Dylan Bundy,Bryce Harper,Byron Buxton,Carlos Correa,Jorge Polanco,Ji-Man Choi,Luis Arraez,Francisco Mejia,Josh Lowe,P,P,OF,OF,SS,2B,1B,3B,C,OF,8600,5600,6200,5900,5100,4900,4000,3600,3200,2800,ATL,MIN,PHI,MIN,MIN,MIN,TB,MIN,TB,TB,MIN,TB,,4,3,
vicegolf22,173,82.35,Michael Lorenzen,Nick Martinez,Shohei Ohtani,Juan Soto,Matt Olson,Ozzie Albies,Anthony Rendon,Dansby Swanson,Adam Duvall,Manny Pina,P,P,OF,OF,1B,2B,3B,SS,OF,C,6700,5900,6000,5700,5400,4800,4300,4200,4100,2600,LAA,SD,LAA,WAS,ATL,ATL,LAA,ATL,ATL,ATL,ATL,LAA,,5,2,
playerpropsavant,174,82.2,Luis Patino,Michael Lorenzen,Shohei Ohtani,Wander Franco,Ozzie Albies,Jared Walsh,Adam Duvall,Marcell Ozuna,Francisco Mejia,Gio Urshela,P,P,OF,SS,2B,1B,OF,OF,C,3B,7800,6700,6000,5300,4800,4700,4100,3800,3200,3200,TB,LAA,LAA,TB,ATL,LAA,ATL,ATL,TB,MIN,ATL,LAA,TB,3,2,2
TwinkieOnIce,175,82.1,Nick Martinez,Dylan Bundy,Bryce Harper,Nick Castellanos,Brandon Lowe,Wander Franco,Kyle Schwarber,Ji-Man Choi,Francisco Mejia,Gio Urshela,P,P,OF,OF,2B,SS,OF,1B,C,3B,5900,5600,6200,5600,5400,5300,5300,4000,3200,3200,SD,MIN,PHI,PHI,TB,TB,PHI,TB,TB,MIN,TB,PHI,,4,3,
cpwathen,175,82.1,Nick Martinez,Dylan Bundy,Bryce Harper,Rhys Hoskins,Jazz Chisholm Jr.,Ozzie Albies,Austin Riley,J.T. Realmuto,Adam Duvall,Marcell Ozuna,P,P,OF,1B,SS,2B,3B,C,OF,OF,5900,5600,6200,5200,5000,4800,4800,4600,4100,3800,SD,MIN,PHI,PHI,MIA,ATL,ATL,PHI,ATL,ATL,ATL,PHI,,4,3,
BoostedRS,177,81.85,Alex Wood,Michael Lorenzen,Bryce Harper,Shohei Ohtani,Byron Buxton,Carlos Correa,Gio Urshela,Jose Rojas,Manny Pina,Orlando Arcia,P,P,OF,1B,OF,SS,3B,OF,C,2B,9200,6700,6200,6000,5900,5100,3200,2600,2600,2500,SF,LAA,PHI,LAA,MIN,MIN,MIN,LAA,ATL,ATL,MIN,LAA,ATL,3,2,2
jstodd22,177,81.85,Alex Wood,Michael Lorenzen,Bryce Harper,Shohei Ohtani,Byron Buxton,Carlos Correa,Gio Urshela,Jose Rojas,Manny Pina,Orlando Arcia,P,P,OF,1B,OF,SS,3B,OF,C,2B,9200,6700,6200,6000,5900,5100,3200,2600,2600,2500,SF,LAA,PHI,LAA,MIN,MIN,MIN,LAA,ATL,ATL,MIN,LAA,ATL,3,2,2
BobbyHare911,177,81.85,Alex Wood,Michael Lorenzen,Vladimir Guerrero Jr.,Bo Bichette,Brandon Lowe,George Springer,Lourdes Gurriel Jr.,Francisco Mejia,Josh Lowe,Taylor Walls,P,P,1B,SS,2B,OF,OF,C,OF,3B,9200,6700,6100,5400,5400,5100,3600,3200,2800,2400,SF,LAA,TOR,TOR,TB,TOR,TOR,TB,TB,TB,TB,TOR,,4,4,
owensd224,180,81.75,Elieser Hernandez,Nick Martinez,Vladimir Guerrero Jr.,Byron Buxton,Wander Franco,Austin Riley,Mitch Haniger,Marcell Ozuna,Tony Kemp,Gary Sanchez,P,P,1B,OF,SS,3B,OF,OF,2B,C,7500,5900,6100,5900,5300,4800,4600,3800,3300,2800,MIA,SD,TOR,MIN,TB,ATL,SEA,ATL,OAK,MIN,MIN,ATL,,2,2,
venarda,181,81.6,Alex Wood,Dylan Bundy,Shohei Ohtani,Wander Franco,Ozzie Albies,Austin Riley,Jorge Soler,Marcell Ozuna,Gary Sanchez,Julio Rodriguez,P,P,1B,SS,2B,3B,OF,OF,C,OF,9200,5600,6000,5300,4800,4800,4100,3800,2800,2000,SF,MIN,LAA,TB,ATL,ATL,MIA,ATL,MIN,SEA,ATL,,,3,,
Badcompany13,182,81.55,Alek Manoah,Dylan Bundy,Shohei Ohtani,Ozzie Albies,Austin Riley,Jared Walsh,Adam Duvall,Marcell Ozuna,Manny Pina,Taylor Walls,P,P,OF,2B,3B,1B,OF,OF,C,SS,10200,5600,6000,4800,4800,4700,4100,3800,2600,2400,TOR,MIN,LAA,ATL,ATL,LAA,ATL,ATL,ATL,TB,ATL,LAA,,5,2,
AnyGivenSaturday,183,81.45,Alek Manoah,Chris Flexen,Vladimir Guerrero Jr.,Teoscar Hernandez,Mitch Haniger,Matt Chapman,Elvis Andrus,Thairo Estrada,Billy McKinney,Zack Collins,P,P,1B,OF,OF,3B,SS,2B,OF,C,10200,9600,6100,4700,4600,4000,3300,2600,2400,2300,TOR,SEA,TOR,TOR,SEA,TOR,OAK,SF,OAK,TOR,TOR,OAK,,4,2,
Dubhallfatz,184,81.4,Huascar Ynoa,Nick Martinez,Wander Franco,Jazz Chisholm Jr.,Manny Machado,Jesus Aguilar,Jesus Sanchez,Jorge Soler,Max Stassi,Garrett Cooper,P,P,SS,2B,3B,1B,OF,OF,C,OF,8600,5900,5300,5000,4900,4200,4200,4100,3700,3600,ATL,SD,TB,MIA,SD,MIA,MIA,MIA,LAA,MIA,MIA,,,5,,
bh56366,184,81.4,Huascar Ynoa,Dylan Bundy,Vladimir Guerrero Jr.,Bo Bichette,George Springer,Teoscar Hernandez,Mark Canha,Matt Chapman,Luis Arraez,Joey Bart,P,P,1B,SS,OF,OF,OF,3B,2B,C,8600,5600,6100,5400,5100,4700,4200,4000,3600,2500,ATL,MIN,TOR,TOR,TOR,TOR,NYM,TOR,MIN,SF,TOR,,,5,,
dollarbl,186,81.05,Alek Manoah,Alex Wood,Brandon Lowe,Wander Franco,Ji-Man Choi,Marcell Ozuna,Max Kepler,Gio Urshela,Manny Pina,Brett Phillips,P,P,2B,SS,1B,OF,OF,3B,C,OF,10200,9200,5400,5300,4000,3800,3700,3200,2600,2600,TOR,SF,TB,TB,TB,ATL,MIN,MIN,ATL,TB,TB,ATL,MIN,4,2,2
Tystar243,187,80.95,Luis Patino,Dylan Bundy,Bryce Harper,Shohei Ohtani,Juan Soto,Manny Machado,Jake Cronenworth,Trent Grisham,Austin Nola,Ha-Seong Kim,P,P,OF,1B,OF,3B,2B,OF,C,SS,7800,5600,6200,6000,5700,4900,4200,3800,2900,2900,TB,MIN,PHI,LAA,WAS,SD,SD,SD,SD,SD,SD,,,5,,
bears14hockey,188,80.6,Alex Wood,Dylan Bundy,Shohei Ohtani,Wander Franco,Ozzie Albies,Austin Riley,Jared Walsh,Marcell Ozuna,Joc Pederson,Manny Pina,P,P,OF,SS,2B,3B,1B,OF,OF,C,9200,5600,6000,5300,4800,4800,4700,3800,3200,2600,SF,MIN,LAA,TB,ATL,ATL,LAA,ATL,SF,ATL,ATL,LAA,,4,2,
kraig,189,80.4,Huascar Ynoa,Dylan Bundy,Bryce Harper,Shohei Ohtani,Wander Franco,Ozzie Albies,Austin Riley,Marcell Ozuna,Austin Nola,Julio Rodriguez,P,P,OF,1B,SS,2B,3B,OF,C,OF,8600,5600,6200,6000,5300,4800,4800,3800,2900,2000,ATL,MIN,PHI,LAA,TB,ATL,ATL,ATL,SD,SEA,ATL,,,3,,
Juggernautzd,190,79.6,Alex Wood,Dylan Bundy,Byron Buxton,Carlos Correa,Ozzie Albies,Austin Riley,Adam Duvall,Miguel Sano,Marcell Ozuna,Gary Sanchez,P,P,OF,SS,2B,3B,OF,1B,OF,C,9200,5600,5900,5100,4800,4800,4100,3900,3800,2800,SF,MIN,MIN,MIN,ATL,ATL,ATL,MIN,ATL,MIN,MIN,ATL,,4,4,
Notorioussog,190,79.6,Alex Wood,Dylan Bundy,Shohei Ohtani,Wander Franco,Ozzie Albies,Austin Riley,Adam Duvall,Mike Yastrzemski,Marcell Ozuna,Manny Pina,P,P,1B,SS,2B,3B,OF,OF,OF,C,9200,5600,6000,5300,4800,4800,4100,3800,3800,2600,SF,MIN,LAA,TB,ATL,ATL,ATL,SF,ATL,ATL,ATL,,,5,,
RubioDimes,190,79.6,Alex Wood,Dylan Bundy,Byron Buxton,Carlos Correa,Ozzie Albies,Austin Riley,Adam Duvall,Miguel Sano,Marcell Ozuna,Gary Sanchez,P,P,OF,SS,2B,3B,OF,1B,OF,C,9200,5600,5900,5100,4800,4800,4100,3900,3800,2800,SF,MIN,MIN,MIN,ATL,ATL,ATL,MIN,ATL,MIN,MIN,ATL,,4,4,
bigdog002,193,79.55,Alek Manoah,Dylan Bundy,Bo Bichette,Matt Olson,Ozzie Albies,Austin Riley,Adam Duvall,Marcell Ozuna,Francisco Mejia,Billy McKinney,P,P,SS,1B,2B,3B,OF,OF,C,OF,10200,5600,5400,5400,4800,4800,4100,3800,3200,2400,TOR,MIN,TOR,ATL,ATL,ATL,ATL,ATL,TB,OAK,ATL,,,5,,
